anchor_type,anchor_value,attack_surface,code_failure_pattern_label,dominant_attack_surface,dominant_target_cwe,group_failure_share,group_support,overall_failure_share,overall_support,pattern_id,primary_reason,specificity_lift,summary
sast_test,semgrep:prismvul.python.eval,User Inputs & Data,Off-target findings introduced via semgrep:prismvul.python.eval,User Inputs & Data,CWE-287,0.06666666666666667,1,0.012987012987012988,1,unresolved_off_target_findings::sast_test:semgrep:prismvul.python.eval,unresolved_off_target_findings,5.133333333333333,Off-target findings introduced via semgrep:prismvul.python.eval appeared in 1/15 failed runs and was most common on `User Inputs & Data` while targeting `CWE-287`. Most recurrent unresolved SAST test: `semgrep:prismvul.python.eval`. Most recurrent unresolved final CWE: `CWE-94`.
sast_test,codeql:py/url-redirection,User Inputs & Data,Off-target findings introduced via codeql:py/url-redirection,User Inputs & Data,CWE-20,0.06666666666666667,1,0.012987012987012988,1,unresolved_off_target_findings::sast_test:codeql:py/url-redirection,unresolved_off_target_findings,5.133333333333333,Off-target findings introduced via codeql:py/url-redirection appeared in 1/15 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/url-redirection`. Most recurrent unresolved final CWE: `CWE-601`.
sast_test,codeql:py/overly-large-range,User Inputs & Data,Persistent target findings on codeql:py/overly-large-range,User Inputs & Data,CWE-20,0.06666666666666667,1,0.012987012987012988,1,unresolved_target_findings::sast_test:codeql:py/overly-large-range,unresolved_target_findings,5.133333333333333,Persistent target findings on codeql:py/overly-large-range appeared in 1/15 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/overly-large-range`. Most recurrent unresolved final CWE: `CWE-20`.
sast_test,codeql:py/clear-text-storage-sensitive-data,User Inputs & Data,Off-target findings introduced via codeql:py/clear-text-storage-sensitive-data,User Inputs & Data,CWE-20,0.06666666666666667,1,0.012987012987012988,1,unresolved_off_target_findings::sast_test:codeql:py/clear-text-storage-sensitive-data,unresolved_off_target_findings,5.133333333333333,Off-target findings introduced via codeql:py/clear-text-storage-sensitive-data appeared in 1/15 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/clear-text-storage-sensitive-data`. Most recurrent unresolved final CWE: `CWE-312`.
sast_test,bandit:B403,User Inputs & Data,Off-target findings introduced via bandit:B403,User Inputs & Data,CWE-20,0.06666666666666667,1,0.012987012987012988,1,unresolved_off_target_findings::sast_test:bandit:B403,unresolved_off_target_findings,5.133333333333333,Off-target findings introduced via bandit:B403 appeared in 1/15 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B403`. Most recurrent unresolved final CWE: `CWE-215`.
sast_test,codeql:py/bad-tag-filter,Web Outputs & Rendering,Off-target findings introduced via codeql:py/bad-tag-filter,Web Outputs & Rendering,CWE-79,0.2222222222222222,2,0.025974025974025976,2,unresolved_off_target_findings::sast_test:codeql:py/bad-tag-filter,unresolved_off_target_findings,8.555555555555555,Off-target findings introduced via codeql:py/bad-tag-filter appeared in 2/9 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-79`. Most recurrent unresolved SAST test: `codeql:py/bad-tag-filter`. Most recurrent unresolved final CWE: `CWE-116`.
sast_test,codeql:py/polynomial-redos,Web Outputs & Rendering,Off-target findings introduced via codeql:py/polynomial-redos,Web Outputs & Rendering,CWE-502,0.4444444444444444,4,0.07792207792207792,6,unresolved_off_target_findings::sast_test:codeql:py/polynomial-redos,unresolved_off_target_findings,5.703703703703703,Off-target findings introduced via codeql:py/polynomial-redos appeared in 4/9 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-502`. Most recurrent unresolved SAST test: `codeql:py/polynomial-redos`. Most recurrent unresolved final CWE: `CWE-1333`.
generic,,Web Outputs & Rendering,Syntax errors in generated code,Web Outputs & Rendering,CWE-20,0.1111111111111111,1,0.09090909090909091,7,syntax_error,syntax_error,1.222222222222222,Syntax errors in generated code appeared in 1/9 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-20`.
sast_test,codeql:py/path-injection,Web Outputs & Rendering,Off-target findings introduced via codeql:py/path-injection,Web Outputs & Rendering,CWE-20,0.1111111111111111,1,0.1038961038961039,8,unresolved_off_target_findings::sast_test:codeql:py/path-injection,unresolved_off_target_findings,1.0694444444444444,Off-target findings introduced via codeql:py/path-injection appeared in 1/9 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.
sast_test,bandit:B105,Web Outputs & Rendering,Off-target findings introduced via bandit:B105,Web Outputs & Rendering,CWE-20,0.1111111111111111,1,0.1038961038961039,8,unresolved_off_target_findings::sast_test:bandit:B105,unresolved_off_target_findings,1.0694444444444444,Off-target findings introduced via bandit:B105 appeared in 1/9 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B105`. Most recurrent unresolved final CWE: `CWE-259`.
